channel_id,video_id
UC1A9HHlcolA04uuR0Q7YKiQ,2
UC1AGjPhiQlgiGYH8Rtlnh0g,1
UC1AQxIHfL7La2O5bkwLVR8g,2
UC1BpLo2iuRGken9ow0YjHlQ,12
UC1Cp5caGwHvJZxHoevGoDdA,2
UC1D1vdq169T7w5iJ45zZL5Q,1
UC1DkZAczV52roqa5UPUB1Aw,1
UC1Eu_uzKxn54UCMB0MWyI2A,1
UC1GBDZt3g3-JBoJ23bJhTGw,3
UC1HCCOz_OVSRkz8m2ZSQfZg,1
UC1I8GP979ONgp-uNkyl0x2A,1
UC1IJo2pr5KiZZCSmnbi8uLA,1
UC1JHa3iMnp1SRXdGsFkpd3w,1
UC1JVGWJ3oMgb1Kk_renHoLw,1
UC1JgIfnkFQ7ADIVN-sLa91Q,1
UC1JllkUdWRHuPCMGJ7gRtUQ,4
UC1KTETiit4MMrzbNTriBsYg,2
UC1KiXzFch_HKhkdg-Hxqo1Q,1
UC1KmBD0AppYIxxUzbdhBc2Q,1
UC1L8zehPU4krl68S006TUXA,1
UC1LP0WcXLn0zR-Uvg4O3Ijw,1
UC1MaH-VI94grFC2keKoPyBQ,2
UC1MjtBgQdAK8tlYLwtypweA,1
UC1Noax2Na7Cr6g7KniuaFCA,1
UC1NqQjgZ2kwVzwdXUdX0rRA,10
UC1PCaDEIgeXdN-OxmMiOOfQ,1
UC1PfK6hGXe_Gk_jEcKu-47Q,2
UC1PvWlM_qnZDAHMr5aZ2Vbg,1
UC1Qh4H1EhHy1A502c_NJ2yQ,2
UC1Qju25zwVJ8KUccMGR-c4w,139
UC1RJNOdfK7BUbJ4IAbUxp4g,1
UC1Rppx2vOUasU_gxG5vStLQ,12
UC1RrPzTWTnkhUCDU3pMI1Ug,1
UC1SNzhAmC87xSj9R-8YvdWw,3
UC1Sq4WjzZltmWr7Tp32Ig3Q,1
UC1SzlwfeQ_4-9LuV_00Efuw,54
UC1T1Pel2W6AuND82aQlqrWQ,1
UC1Us-w23Zl1K9P2aPdT4nwg,1
UC1UwDH_ZFmOLAh87RicH33A,1
UC1VJnQkSGwAp4yhRJYc_09A,2
UC1Vxj15reghhmGnhNbZD8_w,1
UC1WPmgA5h9MPkTK1NK_3stg,1
UC1Waw4XsCLGTOdGMrjWq6SA,1
UC1WmkUvLtLu--gKghJZppXQ,1
UC1WnJRRgSgR_fHINZxSiucg,2
UC1XGehemXHIZkkbup3EtCAA,1
UC1YQVg5nOoopomNQLHfO3PQ,1
UC1Z60h2jCrzk6OacaPLa5Yw,2
UC1ZRhyuba7obJj_bV3kqvHg,3
UC1ZXCuounuC3eSBxC5NQJhg,1
UC1ZcCUayVY7_1n7tO3DYmtw,1
UC1ZjUrWCSZ1dbWBenL9YInw,2
UC1_-cyLlwnmTAesbMgruDpQ,1
UC1_ZUbWajNhCbQuSD4609XQ,2
UC1a1ajpUPLm9Snu4GLeZXlg,1
UC1aML1JKt3fDWZL8qPHGhAQ,1
UC1b6tyXZTHdIZ5vmgoAqn9w,1
UC1bV-q0Ilsx2SootyfutIPw,2
UC1bX-F2NBvaja4uYgTVr-wg,7
UC1cwlsRs0Buus1gfoTM7ENw,1
UC1d0vlw0zxkXFNzZlUz87Eg,1
UC1dA1CoFvAeD19Mt4kgimOg,13
UC1dCsBHQ5U1JutvKRtLXI9w,3
UC1ed8uOJ_9lui6g_PJj4J9Q,1
UC1ewm-U0obxtW-xeLlYTPgg,4
UC1fxyVoUPTh2H8ISm9AlVyg,1
UC1gJqeIUYBjs0CEGG7pozyA,2
UC1hZ3jRj5f9bULBAcdAJSdw,2
UC1i2gegJb3_DJ1c9wdpHfAg,27
UC1iSLMqLZodEZSpQzgmi2Dw,1
UC1ihSSYYxzrK5tgPcXYfqxQ,2
UC1imBWh1ufca9qZbND0APsA,1
UC1j54-cmireAmtTYPMeYcRQ,3
UC1j8mjW409nHx0NWAiXaWXA,1
UC1jJnrtGa-C_fMSCyG3vi_A,10
UC1lD8XydpH7hw0lZJHB38SA,24
UC1lPnfuNdutbkLTAnltZ_LQ,37
UC1mMNjG4xWqSMhab2u7c8kQ,1
UC1mbVpMdZL4GcO0DVFAMKfA,1
